[7/36] FAIL   Male_ExSmoker_I.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[8/36] FAIL   Male_ExSmoker_IIA.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[9/36] FAIL   Male_ExSmoker_IIB.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[10/36] FAIL   Male_ExSmoker_IIIA.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[11/36] FAIL   Male_ExSmoker_IIIB.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[12/36] FAIL   Male_ExSmoker_IV.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[17/36] FAIL   Male_NonSmoker_IIIB.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[25/36] FAIL   Female_ExSmoker_I.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[26/36] FAIL   Female_ExSmoker_IIA.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[27/36] FAIL   Female_ExSmoker_IIB.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[28/36] FAIL   Female_ExSmoker_IIIA.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[29/36] FAIL   Female_ExSmoker_IIIB.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
[30/36] FAIL   Female_ExSmoker_IV.json: 500 Server Error: INTERNAL SERVER ERROR for url: http://localhost:8000/DDI
